Bike Station Name,Bike Station Latitude,Bike Station Longitude,Available Bikes,POI Name,POI Rating,POI Latitude,POI Longitude,Distance (km)
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Steam Whistle Kitchen,4.2,43.6406672,-79.3857124443711,0.4296360590218959
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Impact Kitchen,4.4,43.64085,-79.37871,0.9931790690563763
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.8134072060551943
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Kinka Izakaya Bar Izakaya- Harbourfront,4.0,43.64177851099536,-79.3793856918259,0.9460198101340833
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Evviva Breakfast & Lunch,3.8,43.641602,-79.383301,0.6312666239977759
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Library Bar,4.1,43.64583140000001,-79.3819623,0.9260853802516026
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Kibo Market,4.8,43.645241899630015,-79.38131876350222,0.9305252656652382
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,The Power Plant Contemporary Art Gallery,4.3,43.63846783255385,-79.3818515921703,0.7815714100819423
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Tiff,4.0,43.64656218853344,-79.39050313780471,0.6508948315001982
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Harbourfront Centre,4.0,43.6389155063634,-79.38188386648048,0.7645487048371942
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.8134072060551943
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Library Bar,4.1,43.64583140000001,-79.3819623,0.9260853802516026
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Steam Whistle Kitchen,4.2,43.6406672,-79.3857124443711,0.4296360590218959
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Sansotei Ramen,4.4,43.645322,-79.380408,0.9975287000985524
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Kibo Market,4.8,43.645241899630015,-79.38131876350222,0.9305252656652382
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Evviva Breakfast & Lunch,3.8,43.641602,-79.383301,0.6312666239977759
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,The Roof at SOCO,4.0,43.64303,-79.38379,0.6381587046431842
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Canoe,4.1,43.646954,-79.382159,0.9960649499730333
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Impact Kitchen,4.4,43.64085,-79.37871,0.9931790690563763
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Byblos,4.4,43.647546,-79.388123,0.79453044508924
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Clockwork Champagne & Cocktails,4.3,43.64560743132035,-79.38174040326635,0.9254152571405847
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,The Power Plant Contemporary Art Gallery,4.3,43.63846783255385,-79.3818515921703,0.7815714100819423
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,401 Richmond,4.6,43.64775,-79.39471,0.8351010152061127
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Abbozzo Gallery,0.0,43.64775,-79.39471,0.8351010152061127
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Tiff,4.0,43.64656218853344,-79.39050313780471,0.6508948315001982
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Gallery 44,0.0,43.64775,-79.39471,0.8351010152061127
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Harbourfront Centre,4.0,43.6389155063634,-79.38188386648048,0.7645487048371942
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Gusto 101,4.0,43.645002131066,-79.400309337027,0.8840358402208104
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.8134072060551943
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,La Plume,4.2,43.64321331537325,-79.39695987850428,0.5502900761880979
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Maxime's,4.6,43.643996,-79.399495,0.7708515334012649
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Aloette,4.3,43.64855831176563,-79.395963,0.956808917648819
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Miss Likklemore's,4.5,43.64511981042632,-79.39534954726696,0.5989790725672552
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Chubby's Jamaican Kitchen,4.2,43.64532,-79.40066,0.9269563344035219
